n_cases,cwad_n,cwad_d,cwad_rmse,swad_n,swad_d,swad_rmse,score,subset_type,included,excluded
8,35,0.9881175350777163,465.35026159201175,33,0.9771816376707512,427.8468057356495,0.20008086928250232,subset_min_8,UFCI2101_1; UFCI2101_2; UFCI2201_3; UFJA2101_3; UFJA2101_4; UFJA2201_1; UFJA2201_3; UFJA2201_4,UFCI2101_3; UFCI2201_1; UFCI2201_2; UFCI2201_4; UFJA2101_1; UFJA2101_2; UFJA2201_2
8,39,0.9883265335491668,466.5335451587868,37,0.976886053245919,437.24397258133666,0.20010201407342745,subset_min_8,UFCI2101_1; UFCI2201_3; UFJA2101_1; UFJA2101_2; UFJA2101_4; UFJA2201_1; UFJA2201_3; UFJA2201_4,UFCI2101_2; UFCI2101_3; UFCI2201_1; UFCI2201_2; UFCI2201_4; UFJA2101_3; UFJA2201_2
8,40,0.9876776459836876,463.0455503473272,38,0.9751633785080479,440.85715640865476,0.20014686374146687,subset_min_8,UFCI2101_1; UFCI2101_3; UFCI2201_1; UFJA2101_2; UFJA2101_3; UFJA2101_4; UFJA2201_1; UFJA2201_4,UFCI2101_2; UFCI2201_2; UFCI2201_3; UFCI2201_4; UFJA2101_1; UFJA2201_2; UFJA2201_3
8,38,0.9884107588706319,472.8130041590675,36,0.9770080831999098,443.15221169970073,0.20023535034035025,subset_min_8,UFCI2101_1; UFCI2101_2; UFCI2201_3; UFJA2101_2; UFJA2101_4; UFJA2201_1; UFJA2201_3; UFJA2201_4,UFCI2101_3; UFCI2201_1; UFCI2201_2; UFCI2201_4; UFJA2101_1; UFJA2101_3; UFJA2201_2
8,40,0.9872223046655082,461.9231364190583,37,0.9762966249923513,434.2556420257231,0.20025494431790408,subset_min_8,UFCI2101_1; UFCI2101_3; UFCI2201_4; UFJA2101_1; UFJA2101_2; UFJA2101_4; UFJA2201_1; UFJA2201_4,UFCI2101_2; UFCI2201_1; UFCI2201_2; UFCI2201_3; UFJA2101_3; UFJA2201_2; UFJA2201_3
8,38,0.987157013221812,471.573521369913,35,0.9761017201934734,446.51493879079914,0.2002928354800271,subset_min_8,UFCI2101_1; UFCI2101_2; UFCI2201_4; UFJA2101_2; UFJA2101_4; UFJA2201_1; UFJA2201_3; UFJA2201_4,UFCI2101_3; UFCI2201_1; UFCI2201_2; UFCI2201_3; UFJA2101_1; UFJA2101_3; UFJA2201_2
8,40,0.9879033788105039,464.4727454107994,38,0.9754834546992115,442.1995708374561,0.2004482538304958,subset_min_8,UFCI2101_1; UFCI2101_2; UFCI2101_3; UFCI2201_1; UFJA2101_2; UFJA2101_4; UFJA2201_1; UFJA2201_4,UFCI2201_2; UFCI2201_3; UFCI2201_4; UFJA2101_1; UFJA2101_3; UFJA2201_2; UFJA2201_3
9,39,0.9879327082170244,463.2655319495196,38,0.976970290791176,428.3780660336987,0.20053416435063057,subset_min_8,UFCI2101_1; UFCI2101_2; UFCI2101_3; UFJA2101_2; UFJA2101_3; UFJA2101_4; UFJA2201_1; UFJA2201_3; UFJA2201_4,UFCI2201_1; UFCI2201_2; UFCI2201_3; UFCI2201_4; UFJA2101_1; UFJA2201_2
8,37,0.9869824313541903,457.00431807400815,35,0.9746992652368678,428.21877664556627,0.20063932262515924,subset_min_8,UFCI2101_1; UFCI2101_3; UFCI2201_1; UFJA2101_1; UFJA2101_4; UFJA2201_1; UFJA2201_3; UFJA2201_4,UFCI2101_2; UFCI2201_2; UFCI2201_3; UFCI2201_4; UFJA2101_2; UFJA2101_3; UFJA2201_2
8,38,0.9863147791826729,455.97359218168253,34,0.9743582878515921,433.4456099008716,0.20065613484305697,subset_min_8,UFCI2101_1; UFCI2101_3; UFCI2201_1; UFCI2201_4; UFJA2101_4; UFJA2201_1; UFJA2201_3; UFJA2201_4,UFCI2101_2; UFCI2201_2; UFCI2201_3; UFJA2101_1; UFJA2101_2; UFJA2101_3; UFJA2201_2
8,39,0.9875314965282176,466.45238795614137,37,0.974829911794031,446.9166828197204,0.20073679083862445,subset_min_8,UFCI2101_1; UFCI2201_1; UFJA2101_2; UFJA2101_3; UFJA2101_4; UFJA2201_1; UFJA2201_3; UFJA2201_4,UFCI2101_2; UFCI2101_3; UFCI2201_2; UFCI2201_3; UFCI2201_4; UFJA2101_1; UFJA2201_2
8,39,0.9876717681213544,464.9274769968431,36,0.9766837371688231,439.8717463628685,0.2007472169043753,subset_min_8,UFCI2101_1; UFCI2101_2; UFCI2201_4; UFJA2101_2; UFJA2101_3; UFJA2101_4; UFJA2201_1; UFJA2201_4,UFCI2101_3; UFCI2201_1; UFCI2201_2; UFCI2201_3; UFJA2101_1; UFJA2201_2; UFJA2201_3
8,37,0.9871618430195831,460.82032258385567,33,0.9765668381828937,427.19484976679524,0.20086336861993961,subset_min_8,UFCI2101_1; UFCI2101_3; UFCI2201_3; UFCI2201_4; UFJA2101_4; UFJA2201_1; UFJA2201_3; UFJA2201_4,UFCI2101_2; UFCI2201_1; UFCI2201_2; UFJA2101_1; UFJA2101_2; UFJA2101_3; UFJA2201_2
8,38,0.9875332398248972,466.18268147413596,35,0.9766652880185527,442.0500560988562,0.20086360764990333,subset_min_8,UFCI2101_1; UFCI2101_3; UFCI2201_4; UFJA2101_2; UFJA2101_3; UFJA2201_1; UFJA2201_3; UFJA2201_4,UFCI2101_2; UFCI2201_1; UFCI2201_2; UFCI2201_3; UFJA2101_1; UFJA2101_4; UFJA2201_2
8,39,0.9887687098702357,466.15243814349986,37,0.9774885663952254,436.73269781654443,0.20098477638925094,subset_min_8,UFCI2101_1; UFCI2101_2; UFCI2201_3; UFJA2101_2; UFJA2101_3; UFJA2101_4; UFJA2201_1; UFJA2201_4,UFCI2101_3; UFCI2201_1; UFCI2201_2; UFCI2201_4; UFJA2101_1; UFJA2201_2; UFJA2201_3
8,38,0.9887230330319239,467.4364591590158,36,0.9775211332790572,438.7787006160106,0.2010067224650269,subset_min_8,UFCI2101_1; UFCI2101_3; UFCI2201_3; UFJA2101_2; UFJA2101_3; UFJA2201_1; UFJA2201_3; UFJA2201_4,UFCI2101_2; UFCI2201_1; UFCI2201_2; UFCI2201_4; UFJA2101_1; UFJA2101_4; UFJA2201_2
8,40,0.987672570841204,461.8439281725613,38,0.9750279421735667,442.45572385957047,0.20100896510587044,subset_min_8,UFCI2101_1; UFCI2201_1; UFJA2101_1; UFJA2101_2; UFJA2101_4; UFJA2201_1; UFJA2201_3; UFJA2201_4,UFCI2101_2; UFCI2101_3; UFCI2201_2; UFCI2201_3; UFCI2201_4; UFJA2101_3; UFJA2201_2
8,40,0.9884444940647064,463.1252608762421,38,0.9771748662078654,431.30947266716373,0.2010365609838608,subset_min_8,UFCI2101_1; UFCI2101_3; UFCI2201_3; UFJA2101_1; UFJA2101_2; UFJA2101_4; UFJA2201_1; UFJA2201_4,UFCI2101_2; UFCI2201_1; UFCI2201_2; UFCI2201_4; UFJA2101_3; UFJA2201_2; UFJA2201_3
8,37,0.9886503241943816,465.77421526661345,36,0.9774490181162134,438.0086228854299,0.20126943010708034,subset_min_8,UFCI2101_1; UFCI2101_2; UFJA2101_1; UFJA2101_2; UFJA2101_3; UFJA2201_1; UFJA2201_3; UFJA2201_4,UFCI2101_3; UFCI2201_1; UFCI2201_2; UFCI2201_3; UFCI2201_4; UFJA2101_4; UFJA2201_2
8,38,0.9889010493013077,468.9245823287112,36,0.9777704951539934,440.20226410436373,0.20127983560887425,subset_min_8,UFCI2101_1; UFCI2101_2; UFCI2101_3; UFCI2201_3; UFJA2101_2; UFJA2201_1; UFJA2201_3; UFJA2201_4,UFCI2201_1; UFCI2201_2; UFCI2201_4; UFJA2101_1; UFJA2101_3; UFJA2101_4; UFJA2201_2
8,38,0.9877908788526018,467.6747941331174,35,0.9769682659006482,443.5034253659013,0.2013229232541678,subset_min_8,UFCI2101_1; UFCI2101_2; UFCI2101_3; UFCI2201_4; UFJA2101_2; UFJA2201_1; UFJA2201_3; UFJA2201_4,UFCI2201_1; UFCI2201_2; UFCI2201_3; UFJA2101_1; UFJA2101_3; UFJA2101_4; UFJA2201_2
8,40,0.9878053450175366,465.338108513865,36,0.9766232758338694,442.3266092618115,0.20133027069460488,subset_min_8,UFCI2101_1; UFCI2201_3; UFCI2201_4; UFJA2101_2; UFJA2101_4; UFJA2201_1; UFJA2201_3; UFJA2201_4,UFCI2101_2; UFCI2101_3; UFCI2201_1; UFCI2201_2; UFJA2101_1; UFJA2101_3; UFJA2201_2
8,39,0.9877671588717708,467.90546273653433,37,0.975163113829339,448.27668695993077,0.20137819701432386,subset_min_8,UFCI2101_1; UFCI2101_2; UFCI2201_1; UFJA2101_2; UFJA2101_4; UFJA2201_1; UFJA2201_3; UFJA2201_4,UFCI2101_3; UFCI2201_2; UFCI2201_3; UFCI2201_4; UFJA2101_1; UFJA2101_3; UFJA2201_2
8,41,0.9878121158248506,458.6008532983075,39,0.975351289543221,436.60879944301206,0.2014255172402482,subset_min_8,UFCI2101_1; UFCI2101_3; UFCI2201_1; UFJA2101_1; UFJA2101_2; UFJA2101_4; UFJA2201_1; UFJA2201_4,UFCI2101_2; UFCI2201_2; UFCI2201_3; UFCI2201_4; UFJA2101_3; UFJA2201_2; UFJA2201_3
8,36,0.9870103885239808,460.2448402004686,33,0.9766461313389002,424.4206451352505,0.20145420538653497,subset_min_8,UFCI2101_1; UFCI2101_2; UFCI2101_3; UFCI2201_4; UFJA2101_3; UFJA2101_4; UFJA2201_1; UFJA2201_4,UFCI2201_1; UFCI2201_2; UFCI2201_3; UFJA2101_1; UFJA2101_2; UFJA2201_2; UFJA2201_3
8,41,0.987939003553409,462.03405265432474,37,0.9769229134259314,436.16311701378993,0.20147274248525285,subset_min_8,UFCI2101_1; UFCI2101_3; UFCI2201_3; UFCI2201_4; UFJA2101_2; UFJA2101_4; UFJA2201_1; UFJA2201_4,UFCI2101_2; UFCI2201_1; UFCI2201_2; UFJA2101_1; UFJA2101_3; UFJA2201_2; UFJA2201_3
8,38,0.9876410281738377,457.2553636774203,35,0.9753816570786492,430.26328809755984,0.20148428961640386,subset_min_8,UFCI2101_1; UFCI2101_3; UFCI2201_1; UFCI2201_3; UFJA2101_4; UFJA2201_1; UFJA2201_3; UFJA2201_4,UFCI2101_2; UFCI2201_2; UFCI2201_4; UFJA2101_1; UFJA2101_2; UFJA2101_3; UFJA2201_2
8,36,0.9869954584331732,458.9013618674765,33,0.9764694380808939,426.33187069066435,0.20166713372566128,subset_min_8,UFCI2101_1; UFCI2101_2; UFCI2201_4; UFJA2101_1; UFJA2101_4; UFJA2201_1; UFJA2201_3; UFJA2201_4,UFCI2101_3; UFCI2201_1; UFCI2201_2; UFCI2201_3; UFJA2101_2; UFJA2101_3; UFJA2201_2
8,36,0.9877525904318208,462.002130565699,34,0.9768473539097179,421.9211120609844,0.2016855261411715,subset_min_8,UFCI2101_1; UFCI2101_3; UFCI2201_3; UFJA2101_1; UFJA2101_4; UFJA2201_1; UFJA2201_3; UFJA2201_4,UFCI2101_2; UFCI2201_1; UFCI2201_2; UFCI2201_4; UFJA2101_2; UFJA2101_3; UFJA2201_2
8,39,0.9876937036540537,461.4596767079493,36,0.976842417184676,437.42491737094394,0.2017516058180555,subset_min_8,UFCI2101_1; UFCI2101_3; UFCI2201_4; UFJA2101_1; UFJA2101_2; UFJA2201_1; UFJA2201_3; UFJA2201_4,UFCI2101_2; UFCI2201_1; UFCI2201_2; UFCI2201_3; UFJA2101_3; UFJA2101_4; UFJA2201_2
8,37,0.9875649568912463,456.5942179682721,35,0.975453441245108,427.6668617209962,0.20194986969552525,subset_min_8,UFCI2101_1; UFCI2101_2; UFCI2101_3; UFCI2201_1; UFJA2101_3; UFJA2101_4; UFJA2201_1; UFJA2201_4,UFCI2201_2; UFCI2201_3; UFCI2201_4; UFJA2101_1; UFJA2101_2; UFJA2201_2; UFJA2201_3
8,40,0.9881800676560318,461.4685765551627,38,0.975713926400437,441.9637817346628,0.2019663213583446,subset_min_8,UFCI2101_1; UFCI2101_2; UFCI2201_1; UFJA2101_2; UFJA2101_3; UFJA2101_4; UFJA2201_1; UFJA2201_4,UFCI2101_3; UFCI2201_2; UFCI2201_3; UFCI2201_4; UFJA2101_1; UFJA2201_2; UFJA2201_3
